cell_type	replicate	cell	vae_2	nmf_6	cell_class
HSC1	8	HSC1_8	15.004787224416717	248.54067587081886	HSC
HSC1	9	HSC1_9	16.011293387050163	253.32026670455758	HSC
HSC3	10	HSC3_10	18.75795907057259	251.71300957337965	HSC
HSC3	12	HSC3_12	17.48688515925426	253.78979359788283	HSC
HSC3	13	HSC3_13	16.378637210882776	269.1608016589386	HSC
HSC3	14	HSC3_14	17.869111824124527	261.2236599403219	HSC
MEGA1	2	MEGA1_2	14.748510405852466	197.70385415478646	Megakaryocytic
MEGA1	3	MEGA1_3	13.23017698069043	202.77834488458876	Megakaryocytic
MEGA1	4	MEGA1_4	18.564947605983555	244.4933390492397	Megakaryocytic
MEGA1	5	MEGA1_5	15.73883317553488	241.710724093771	Megakaryocytic
MEGA1	6	MEGA1_6	13.031031503065948	215.43253041319488	Megakaryocytic
MEGA1	7	MEGA1_7	16.846435502371605	220.2250761417402	Megakaryocytic
MEGA2	2	MEGA2_2	16.56677109849369	189.620449029191	Megakaryocytic
MEGA2	3	MEGA2_3	19.165850806485146	240.03764701393487	Megakaryocytic
MEGA2	4	MEGA2_4	21.740113145070783	241.47453018076467	Megakaryocytic
MEGA2	5	MEGA2_5	15.90225531456653	210.03220461994613	Megakaryocytic
MEGA2	6	MEGA2_6	17.21839895981036	228.96723241572292	Megakaryocytic
MEGA2	7	MEGA2_7	12.006936261799845	174.02920594016388	Megakaryocytic
MEP	1	MEP_1	12.59063294914601	240.70406614570834	Myeloid
MEP	2	MEP_2	12.25621622907269	227.65814430553877	Myeloid
MEP	3	MEP_3	11.967752761186155	235.15007605616964	Myeloid
MEP	4	MEP_4	15.054190797476716	265.4729858108472	Myeloid
MEP	5	MEP_5	9.528534223597557	192.08678843325038	Myeloid
MEP	6	MEP_6	11.635520466514429	204.65780989520556	Myeloid
MEP	7	MEP_7	15.428268931832982	225.85063644508992	Myeloid
MEP	8	MEP_8	12.481208667615526	210.1276486861787	Myeloid
MEP	9	MEP_9	12.235814500575334	212.57585337187805	Myeloid
MONO1	1	MONO1_1	23.813524452864726	273.38618386310156	Monocyte
