variable	pval	odds	full_feature	tailed
NK-cells_NOVERSHTERN_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Erythrocytes_FANTOM_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Megakaryocytes_NOVERSHTERN_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Plasma-cells_BLUEPRINT_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Adipocytes_FANTOM_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Epithelial-cells_ENCODE_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Th2-cells_IRIS_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
HSC_NOVERSHTERN_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
NK-cells_NOVERSHTERN_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
NKT_NOVERSHTERN_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
HSC_NOVERSHTERN_3	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Macrophages-M1_BLUEPRINT_2	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Megakaryocytes_BLUEPRINT_1	0.0037316881677395075	593.7777777777778	vae_2_three	pos
Preadipocytes_FANTOM_1	0.003863126427062056	25.36231884057971	vae_1_three	pos
Sebocytes_FANTOM_3	0.0038645908315521876	4.015818823261636	vae_2_three	neg
Epithelial-cells_FANTOM_3	0.003929212592080224	5.606694560669456	vae_1_three	neg
Astrocytes_FANTOM_1	0.0040482884696074915	0.18937635176697026	vae_1_two	neg
Tregs_HPCA_2	0.004104473317118758	534.3	vae_2_three	pos
CD8+-Tem_BLUEPRINT_1	0.004104473317118758	534.3	vae_2_three	pos
CD8+-Tcm_NOVERSHTERN_3	0.004104473317118758	534.3	vae_2_three	pos
CD4+-Tem_BLUEPRINT_2	0.004104473317118758	534.3	vae_2_three	pos
Macrophages-M1_BLUEPRINT_1	0.004104473317118758	534.3	vae_2_three	pos
aDC_HPCA_3	0.004104473317118758	534.3	vae_2_three	pos
CD8+-Tcm_HPCA_2	0.004104473317118758	534.3	vae_2_three	pos
Myocytes_ENCODE_1	0.004104473317118758	534.3	vae_2_three	pos
CD8+-T-cells_IRIS_1	0.004104473317118758	534.3	vae_2_three	pos
Th1-cells_IRIS_2	0.004104473317118758	534.3	vae_2_three	pos
Skeletal-muscle_ENCODE_2	0.004104473317118758	534.3	vae_2_three	pos
Macrophages-M2_BLUEPRINT_2	0.004104473317118758	534.3	vae_2_three	pos
iDC_HPCA_2	0.004104473317118758	534.3	vae_2_three	pos
Endothelial-cells_FANTOM_1	0.004104473317118758	534.3	vae_2_three	pos
CD4+-Tem_BLUEPRINT_1	0.004104473317118758	534.3	vae_2_three	pos
Melanocytes_FANTOM_1	0.004104473317118758	534.3	vae_2_three	pos
aDC_HPCA_2	0.004104473317118758	534.3	vae_2_three	pos
Megakaryocytes_NOVERSHTERN_2	0.004104473317118758	534.3	vae_2_three	pos
Keratinocytes_ENCODE_3	0.004104473317118758	534.3	vae_2_three	pos
