algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
ica	908341	real	0.68	303	27.035999999999998	tcga	45	gph
ica	978124	real	0.68	379	24.2109	tcga	45	gph
nmf	165158	real	0.5	595	33.0514	tcga	45	gph
nmf	451283	real	0.54	566	35.8682	tcga	45	gph
nmf	486191	real	0.54	567	36.1747	tcga	45	gph
nmf	908341	real	0.52	533	37.0949	tcga	45	gph
nmf	978124	real	0.52	599	33.5946	tcga	45	gph
pca	165158	real	0.54	790	22.869	tcga	45	gph
pca	451283	real	0.52	791	22.874000000000002	tcga	45	gph
pca	486191	real	0.54	887	26.5795	tcga	45	gph
pca	908341	real	0.54	793	22.8763	tcga	45	gph
pca	978124	real	0.54	794	22.875	tcga	45	gph
vae	165158	real	0.58	1110	29.5384	tcga	45	gph
vae	451283	real	0.64	1031	19.7509	tcga	45	gph
vae	486191	real	0.56	907	22.5691	tcga	45	gph
vae	908341	real	0.52	1078	25.7008	tcga	45	gph
vae	978124	real	0.46	1124	22.5899	tcga	45	gph
dae	165158	real	0.08	35	14.5637	tcga	9	gph
dae	451283	real	0.2	1	15.7514	tcga	9	gph
dae	486191	real	0.1	2	13.5141	tcga	9	gph
dae	908341	real	0.14	43	16.6373	tcga	9	gph
dae	978124	real	0.2	4	16.13	tcga	9	gph
ica	165158	real	0.26	80	24.0848	tcga	9	gph
ica	451283	real	0.26	46	24.3206	tcga	9	gph
ica	486191	real	0.26	77	24.3375	tcga	9	gph
ica	908341	real	0.2	73	24.1313	tcga	9	gph
ica	978124	real	0.26	64	24.1375	tcga	9	gph
nmf	165158	real	0.18	90	29.0382	tcga	9	gph
nmf	451283	real	0.18	91	29.0322	tcga	9	gph
nmf	486191	real	0.18	92	29.035999999999998	tcga	9	gph
nmf	908341	real	0.18	93	29.0332	tcga	9	gph
nmf	978124	real	0.18	94	29.0361	tcga	9	gph
pca	165158	real	0.18	135	19.6918	tcga	9	gph
pca	451283	real	0.18	136	19.6918	tcga	9	gph
pca	486191	real	0.18	137	19.6918	tcga	9	gph
pca	908341	real	0.18	138	19.6918	tcga	9	gph
pca	978124	real	0.18	139	19.6918	tcga	9	gph
vae	165158	real	0.26	205	17.9467	tcga	9	gph
vae	451283	real	0.26	206	16.5339	tcga	9	gph
vae	486191	real	0.2	182	21.1606	tcga	9	gph
vae	908341	real	0.26	198	18.1923	tcga	9	gph
vae	978124	real	0.26	224	22.2308	tcga	9	gph
dae	165158	real	0.46	25	29.93	tcga	80	gph
dae	451283	real	0.56	181	29.0529	tcga	80	gph
dae	486191	real	0.52	27	19.7797	tcga	80	gph
dae	908341	real	0.44	13	17.594	tcga	80	gph
dae	978124	real	0.6	374	18.1937	tcga	80	gph
ica	165158	real	0.8	785	41.6838	tcga	80	gph
ica	451283	real	0.82	686	41.7021	tcga	80	gph
ica	486191	real	0.78	577	42.2968	tcga	80	gph
ica	908341	real	0.8	613	41.1486	tcga	80	gph
ica	978124	real	0.8	584	41.4489	tcga	80	gph
nmf	165158	real	0.6	920	34.1136	tcga	80	gph
nmf	451283	real	0.62	921	33.8497	tcga	80	gph
nmf	486191	real	0.66	922	33.5283	tcga	80	gph
nmf	908341	real	0.68	923	33.7149	tcga	80	gph
nmf	978124	real	0.6	924	34.0119	tcga	80	gph
pca	165158	real	0.76	1315	22.8742	tcga	80	gph
pca	451283	real	0.7	1316	22.8742	tcga	80	gph
pca	486191	real	0.7	1317	22.8742	tcga	80	gph
pca	908341	real	0.7	1318	22.8743	tcga	80	gph
pca	978124	real	0.7	1319	22.8743	tcga	80	gph
vae	165158	real	0.68	1980	27.4811	tcga	80	gph
vae	451283	real	0.64	1901	27.6601	tcga	80	gph
