algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
vae	390129	real	0.26455026455026454	1733	41.5747	tcga	35	signal	gpc6
vae	417568	real	0.25396825396825395	1484	24.6875	tcga	35	signal	gpc6
vae	492187	real	0.26455026455026454	1425	27.8098	tcga	35	signal	gpc6
vae	829725	real	0.25925925925925924	1546	26.3928	tcga	35	signal	gpc6
vae	879879	real	0.2698412698412698	1447	31.2648	tcga	35	signal	gpc6
vae	974789	real	0.24338624338624337	1628	26.8461	tcga	35	signal	gpc6
vae	980838	real	0.2751322751322751	1679	30.0106	tcga	35	signal	gpc6
dae	127763	real	0.06349206349206349	15	35.6043	tcga	9	signal	gpc6
dae	234449	real	0.047619047619047616	36	48.3937	tcga	9	signal	gpc6
dae	373827	real	0.037037037037037035	42	38.0129	tcga	9	signal	gpc6
dae	591920	real	0.05291005291005291	38	61.2615	tcga	9	signal	gpc6
dae	992226	real	0.037037037037037035	19	44.9031	tcga	9	signal	gpc6
ica	127763	real	0.09523809523809523	85	21.3866	tcga	9	signal	gpc6
ica	234449	real	0.09523809523809523	61	29.5278	tcga	9	signal	gpc6
ica	373827	real	0.09523809523809523	72	22.8772	tcga	9	signal	gpc6
ica	591920	real	0.09523809523809523	48	21.2917	tcga	9	signal	gpc6
ica	992226	real	0.09523809523809523	54	21.3648	tcga	9	signal	gpc6
nmf	127763	real	0.07936507936507936	100	53.4782	tcga	9	signal	gpc6
nmf	234449	real	0.07936507936507936	101	53.4823	tcga	9	signal	gpc6
nmf	373827	real	0.07936507936507936	102	53.4856	tcga	9	signal	gpc6
nmf	591920	real	0.07936507936507936	103	53.474	tcga	9	signal	gpc6
nmf	992226	real	0.07936507936507936	104	53.4784	tcga	9	signal	gpc6
pca	127763	real	0.07936507936507936	135	31.6713	tcga	9	signal	gpc6
pca	234449	real	0.07936507936507936	136	31.6713	tcga	9	signal	gpc6
pca	373827	real	0.07936507936507936	137	31.6713	tcga	9	signal	gpc6
pca	591920	real	0.07936507936507936	138	31.6713	tcga	9	signal	gpc6
pca	992226	real	0.07936507936507936	139	31.6713	tcga	9	signal	gpc6
vae	127763	real	0.07407407407407407	190	49.6907	tcga	9	signal	gpc6
vae	234449	real	0.07407407407407407	206	20.3217	tcga	9	signal	gpc6
vae	373827	real	0.07936507936507936	182	54.1384	tcga	9	signal	gpc6
vae	591920	real	0.07407407407407407	188	31.338	tcga	9	signal	gpc6
vae	992226	real	0.07936507936507936	199	32.4236	tcga	9	signal	gpc6
dae	207574	real	0.455026455026455	636	46.2537	tcga	150	signal	gpc6
dae	254403	real	0.5185185185185185	535	57.3616	tcga	150	signal	gpc6
dae	427081	real	0.4656084656084656	776	45.9621	tcga	150	signal	gpc6
dae	529391	real	0.5185185185185185	435	48.5192	tcga	150	signal	gpc6
dae	683678	real	0.5661375661375662	862	44.975	tcga	150	signal	gpc6
dae	819179	real	0.5608465608465608	863	39.3361	tcga	150	signal	gpc6
ica	207574	real	0.7407407407407407	1098	37.9034	tcga	150	signal	gpc6
ica	254403	real	0.6931216931216931	1237	33.5729	tcga	150	signal	gpc6
ica	427081	real	0.6984126984126984	956	47.1288	tcga	150	signal	gpc6
ica	529391	real	0.7407407407407407	1209	39.8016	tcga	150	signal	gpc6
ica	683678	real	0.6984126984126984	1192	54.2734	tcga	150	signal	gpc6
ica	819179	real	0.7195767195767195	953	53.4157	tcga	150	signal	gpc6
nmf	207574	real	0.6296296296296297	2112	134.414	tcga	150	signal	gpc6
nmf	254403	real	0.6137566137566137	2563	56.4282	tcga	150	signal	gpc6
nmf	427081	real	0.6507936507936508	2114	83.5576	tcga	150	signal	gpc6
nmf	529391	real	0.6507936507936508	2115	76.9617	tcga	150	signal	gpc6
nmf	683678	real	0.6507936507936508	2500	66.0498	tcga	150	signal	gpc6
nmf	819179	real	0.6507936507936508	2285	94.3618	tcga	150	signal	gpc6
pca	207574	real	0.6296296296296297	3174	48.695	tcga	150	signal	gpc6
pca	254403	real	0.6190476190476191	3175	49.1525	tcga	150	signal	gpc6
pca	427081	real	0.6243386243386243	3176	48.8749	tcga	150	signal	gpc6
pca	529391	real	0.6137566137566137	3177	49.1865	tcga	150	signal	gpc6
pca	683678	real	0.6507936507936508	3178	49.2736	tcga	150	signal	gpc6
pca	819179	real	0.6349206349206349	3179	48.8998	tcga	150	signal	gpc6
vae	207574	real	0.5714285714285714	3960	49.1228	tcga	150	signal	gpc6
vae	254403	real	0.5714285714285714	4309	48.3301	tcga	150	signal	gpc6
vae	427081	real	0.5767195767195767	3896	83.9705	tcga	150	signal	gpc6
vae	529391	real	0.5396825396825397	3699	34.7739	tcga	150	signal	gpc6
vae	683678	real	0.5555555555555556	3784	53.4889	tcga	150	signal	gpc6
vae	819179	real	0.5555555555555556	4349	45.5409	tcga	150	signal	gpc6
dae	87129	real	0.07936507936507936	60	23.8252	tcga	12	signal	gpc6
dae	307127	real	0.042328042328042326	111	29.3607	tcga	12	signal	gpc6
dae	317066	real	0.06349206349206349	52	41.107	tcga	12	signal	gpc6
dae	409894	real	0.026455026455026454	63	30.2656	tcga	12	signal	gpc6
dae	549597	real	0.037037037037037035	84	39.7063	tcga	12	signal	gpc6
dae	667989	real	0.031746031746031744	5	29.8137	tcga	12	signal	gpc6
dae	768359	real	0.037037037037037035	26	39.872	tcga	12	signal	gpc6
dae	769685	real	0.0582010582010582	37	47.3192	tcga	12	signal	gpc6
dae	780636	real	0.037037037037037035	88	38.7893	tcga	12	signal	gpc6
dae	815030	real	0.047619047619047616	19	29.5478	tcga	12	signal	gpc6
ica	87129	real	0.1164021164021164	230	30.3546	tcga	12	signal	gpc6
ica	307127	real	0.1164021164021164	121	30.4313	tcga	12	signal	gpc6
ica	317066	real	0.1164021164021164	172	30.3795	tcga	12	signal	gpc6
ica	409894	real	0.1164021164021164	183	30.4973	tcga	12	signal	gpc6
ica	549597	real	0.1164021164021164	194	31.3423	tcga	12	signal	gpc6
ica	667989	real	0.1164021164021164	165	30.5967	tcga	12	signal	gpc6
ica	768359	real	0.1164021164021164	146	31.2512	tcga	12	signal	gpc6
ica	769685	real	0.1164021164021164	157	31.3533	tcga	12	signal	gpc6
ica	780636	real	0.1164021164021164	178	31.3458	tcga	12	signal	gpc6
ica	815030	real	0.1164021164021164	199	30.8683	tcga	12	signal	gpc6
nmf	87129	real	0.10052910052910052	260	88.411	tcga	12	signal	gpc6
nmf	307127	real	0.10052910052910052	261	88.4052	tcga	12	signal	gpc6
nmf	317066	real	0.10582010582010581	262	88.4576	tcga	12	signal	gpc6
nmf	409894	real	0.10052910052910052	263	88.3778	tcga	12	signal	gpc6
nmf	549597	real	0.10052910052910052	264	88.4226	tcga	12	signal	gpc6
nmf	667989	real	0.10052910052910052	265	88.402	tcga	12	signal	gpc6
nmf	768359	real	0.10052910052910052	266	88.3754	tcga	12	signal	gpc6
nmf	769685	real	0.10582010582010581	267	88.4475	tcga	12	signal	gpc6
nmf	780636	real	0.10052910052910052	268	88.3729	tcga	12	signal	gpc6
nmf	815030	real	0.10052910052910052	269	88.3893	tcga	12	signal	gpc6
pca	87129	real	0.10582010582010581	360	31.6713	tcga	12	signal	gpc6
pca	307127	real	0.10582010582010581	361	31.6713	tcga	12	signal	gpc6
pca	317066	real	0.10582010582010581	362	31.6713	tcga	12	signal	gpc6
pca	409894	real	0.10582010582010581	363	31.6713	tcga	12	signal	gpc6
pca	549597	real	0.10582010582010581	364	31.6713	tcga	12	signal	gpc6
pca	667989	real	0.10582010582010581	365	31.6713	tcga	12	signal	gpc6
pca	768359	real	0.10582010582010581	366	31.6713	tcga	12	signal	gpc6
pca	769685	real	0.10582010582010581	367	31.6713	tcga	12	signal	gpc6
pca	780636	real	0.10582010582010581	368	31.6713	tcga	12	signal	gpc6
pca	815030	real	0.10582010582010581	369	31.6713	tcga	12	signal	gpc6
vae	87129	real	0.1164021164021164	550	23.193	tcga	12	signal	gpc6
vae	307127	real	0.1164021164021164	521	23.7841	tcga	12	signal	gpc6
vae	317066	real	0.1111111111111111	592	37.3361	tcga	12	signal	gpc6
vae	409894	real	0.1111111111111111	553	30.0798	tcga	12	signal	gpc6
vae	549597	real	0.10052910052910052	534	27.6545	tcga	12	signal	gpc6
vae	667989	real	0.1111111111111111	555	40.9657	tcga	12	signal	gpc6
vae	768359	real	0.1164021164021164	486	29.318	tcga	12	signal	gpc6
vae	769685	real	0.10582010582010581	547	39.695	tcga	12	signal	gpc6
vae	780636	real	0.1164021164021164	568	30.5965	tcga	12	signal	gpc6
vae	815030	real	0.1164021164021164	529	33.8538	tcga	12	signal	gpc6
